"Salaire mensuel brut selon le domaine d'activité"

"Année","Grande région","Domaine d'activité","Niveau de qualification","Homme","Femme"
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Mise en service, réglage et maintenance de machines","Niveau de qualification - Total",6341,5083
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Restauration, arts manuels","Niveau de qualification - Total",X,X
"2010","Suisse du Nord-Ouest (BS, BL, AG)","SERVICES","Niveau de qualification - Total",7429,5636
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Définition des buts et de la stratégie de l'entreprise","Niveau de qualification - Total",13703,12917( )
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Comptabilité, gestion du personnel","Niveau de qualification - Total",9750,6880
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Secrétariat, travaux de chancellerie","Niveau de qualification - Total",7145,6071
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Autres activités commerciales et administratives","Niveau de qualification - Total",7307,5805
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Logistique, tâches d'état-major","Niveau de qualification - Total",6446,5535
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Expertises, conseils, vente","Niveau de qualification - Total",9286,7005
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Achat et vente de produits de base et d'équipement","Niveau de qualification - Total",8054,6113
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Vente de biens de consommation, vente au détail","Niveau de qualification - Total",6241,4302
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Recherche et développement","Niveau de qualification - Total",9544,8567
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Analyse, programmation, 'operating'","Niveau de qualification - Total",8941,8311
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Planifier, construire, réaliser, dessiner","Niveau de qualification - Total",7633,5882
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Transp. de personnes et de marchandises, communications","Niveau de qualification - Total",5415,4776
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Services de sécurité, de surveillance","Niveau de qualification - Total",7701,6319( )
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Activités médicales, sociales et dans le domaine des soins","Niveau de qualification - Total",6911,5935
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Soins corporels, nettoyage des vêtements","Niveau de qualification - Total",4706,3798
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Nettoyage et hygiène publique","Niveau de qualification - Total",4837,3941
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Activités pédagogiques","Niveau de qualification - Total",8167,6403
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Activités de l'hôtellerie-restauration, économie domestique","Niveau de qualification - Total",4408,4184
"2010","Suisse du Nord-Ouest (BS, BL, AG)","Culture, information, sport, loisirs et divertissements","Niveau de qualification - Total",6436,5510
"2010","Zurich (ZH)","ACTIVITES PROCHES DE LA PRODUCTION","Niveau de qualification - Total",6098,4808
"2010","Zurich (ZH)","Fabrication et transformation de produits","Niveau de qualification - Total",5834,4667
"2010","Zurich (ZH)","Activités de la construction","Niveau de qualification - Total",6055,5321
"2010","Zurich (ZH)","Mise en service, réglage et maintenance de machines","Niveau de qualification - Total",6438,5270
"2010","Zurich (ZH)","Restauration, arts manuels","Niveau de qualification - Total",6115( ),5159( )
"2010","Zurich (ZH)","SERVICES","Niveau de qualification - Total",7750,5440
"2010","Zurich (ZH)","Définition des buts et de la stratégie de l'entreprise","Niveau de qualification - Total",13725,9469
"2010","Zurich (ZH)","Comptabilité, gestion du personnel","Niveau de qualification - Total",10029,7224
"2010","Zurich (ZH)","Secrétariat, travaux de chancellerie","Niveau de qualification - Total",6986,6251
"2010","Zurich (ZH)","Autres activités commerciales et administratives","Niveau de qualification - Total",7961,6199
"2010","Zurich (ZH)","Logistique, tâches d'état-major","Niveau de qualification - Total",7519,6588
