"Salaire mensuel brut selon la formation"

"Année","Grande région","Formation","Position professionnelle","Homme Médiane","Femme Médiane"
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Brevet d'enseignement","Position professionnelle - Total",7574( ),6726( )
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Maturité","Position professionnelle - Total",6064,5200
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Apprentissage complet (CFC)","Position professionnelle - Total",5741,4862
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Formation acquise en entreprise","Position professionnelle - Total",5530,4231
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Sans formation prof. compléte","Position professionnelle - Total",5029,3950
"2010","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Autres formations complétes","Position professionnelle - Total",5317,4049
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",12107,8730
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",9808,7851
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",8324,6958
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Brevet d'enseignement","Position professionnelle - Total",7445( ),6735
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Maturité","Position professionnelle - Total",6659,5417
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Apprentissage complet (CFC)","Position professionnelle - Total",5930,5048
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Formation acquise en entreprise","Position professionnelle - Total",5787,4390
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Sans formation prof. compléte","Position professionnelle - Total",5051,4180
"2010","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Autres formations complétes","Position professionnelle - Total",6507,4574
"2010","Tessin (TI)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",8667,6209
"2010","Tessin (TI)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",7436,6364
"2010","Tessin (TI)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",6293,4876
"2010","Tessin (TI)","Brevet d'enseignement","Position professionnelle - Total",6067( ),5395( )
"2010","Tessin (TI)","Maturité","Position professionnelle - Total",5708,4642
"2010","Tessin (TI)","Apprentissage complet (CFC)","Position professionnelle - Total",5571,4890
"2010","Tessin (TI)","Formation acquise en entreprise","Position professionnelle - Total",5069,3475
"2010","Tessin (TI)","Sans formation prof. compléte","Position professionnelle - Total",4479,3311
"2010","Tessin (TI)","Autres formations complétes","Position professionnelle - Total",4983,3935
