"Année","Grande région","Domaine d'activité","Niveau de qualification","Homme","Femme"
"2002","Région lémanique (VD, VS, GE)","Services de sécurité, de surveillance","Niveau 3",5456,5392
"2002","Région lémanique (VD, VS, GE)","Services de sécurité, de surveillance","Niveau 4",4672,4184
"2002","Région lémanique (VD, VS, GE)","Activités médicales, sociales et dans le domaine des soins","Niveau 1+2",7400,6553
"2002","Région lémanique (VD, VS, GE)","Activités médicales, sociales et dans le domaine des soins","Niveau 3",6059,5613
"2002","Région lémanique (VD, VS, GE)","Activités médicales, sociales et dans le domaine des soins","Niveau 4",4690,4583
"2002","Région lémanique (VD, VS, GE)","Soins corporels, nettoyage des vétements","Niveau 1+2",X,3491
"2002","Région lémanique (VD, VS, GE)","Soins corporels, nettoyage des vétements","Niveau 3",X,3273
"2002","Région lémanique (VD, VS, GE)","Soins corporels, nettoyage des vétements","Niveau 4",X,3200
"2002","Région lémanique (VD, VS, GE)","Nettoyage et hygiéne publique","Niveau 1+2",5388,X
"2002","Région lémanique (VD, VS, GE)","Nettoyage et hygiéne publique","Niveau 3",5056,4154
"2002","Région lémanique (VD, VS, GE)","Nettoyage et hygiéne publique","Niveau 4",3699,3480
"2002","Région lémanique (VD, VS, GE)","Activités pédagogiques","Niveau 1+2",8091,7010
"2002","Région lémanique (VD, VS, GE)","Activités pédagogiques","Niveau 3",5904,6091
"2002","Région lémanique (VD, VS, GE)","Activités pédagogiques","Niveau 4",4664,4160
"2002","Région lémanique (VD, VS, GE)","Activités de l'hôtellerie-restauration, économie domestique","Niveau 1+2",4909,4133
"2002","Région lémanique (VD, VS, GE)","Activités de l'hôtellerie-restauration, économie domestique","Niveau 3",4114,3650
"2002","Région lémanique (VD, VS, GE)","Activités de l'hôtellerie-restauration, économie domestique","Niveau 4",3361,3378
"2002","Région lémanique (VD, VS, GE)","Culture, information, sport, loisirs et divertissements","Niveau 1+2",7233,5868
"2002","Région lémanique (VD, VS, GE)","Culture, information, sport, loisirs et divertissements","Niveau 3",5361,5409
"2002","Région lémanique (VD, VS, GE)","Culture, information, sport, loisirs et divertissements","Niveau 4",3813,3802
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","ACTIVITES PROCHES DE LA PRODUCTION","Niveau 1+2",5761,4646
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","ACTIVITES PROCHES DE LA PRODUCTION","Niveau 3",5356,4361
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","ACTIVITES PROCHES DE LA PRODUCTION","Niveau 4",4724,3760
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Fabrication et transformation de produits","Niveau 1+2",5691,4394
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Fabrication et transformation de produits","Niveau 3",5260,4235
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Fabrication et transformation de produits","Niveau 4",4643,3727
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Activités de la construction","Niveau 1+2",5775,5257
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Activités de la construction","Niveau 3",5242,4384
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Activités de la construction","Niveau 4",4743,4022
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Mise en service, réglage et maintenance de machines","Niveau 1+2",5813,4518
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Mise en service, réglage et maintenance de machines","Niveau 3",5751,4958
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Mise en service, réglage et maintenance de machines","Niveau 4",5050,4028
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Restauration, arts manuels","Niveau 1+2",5850,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","Restauration, arts manuels","Niveau 3",5045,X
