"Année","Grande région","Classe de salaires nets","Taux d'occupation","Homme","Femme"
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","20001+ francs","Temps partiel (< 90%)",X,*
"2002","Tessin (TI)","0-  1000 francs","Plein temps (>= 90%)",*,X
"2002","Tessin (TI)","0-  1000 francs","Temps partiel (< 90%)",11.1,16.8
"2002","Tessin (TI)","1001-  2000 francs","Plein temps (>= 90%)",X,2.1
"2002","Tessin (TI)","1001-  2000 francs","Temps partiel (< 90%)",18.6,32.8
"2002","Tessin (TI)","2001-  3000 francs","Plein temps (>= 90%)",5.9,32.9
"2002","Tessin (TI)","2001-  3000 francs","Temps partiel (< 90%)",27.5,31.8
"2002","Tessin (TI)","3001-  4000 francs","Plein temps (>= 90%)",25.1,30.2
"2002","Tessin (TI)","3001-  4000 francs","Temps partiel (< 90%)",19.8,11.4
"2002","Tessin (TI)","4001-  5000 francs","Plein temps (>= 90%)",32.7,18.3
"2002","Tessin (TI)","4001-  5000 francs","Temps partiel (< 90%)",14.5,4.8
"2002","Tessin (TI)","5001-  6000 francs","Plein temps (>= 90%)",15.7,8.9
"2002","Tessin (TI)","5001-  6000 francs","Temps partiel (< 90%)",3.6,1.1
"2002","Tessin (TI)","6001-  7000 francs","Plein temps (>= 90%)",7.9,3.8
"2002","Tessin (TI)","6001-  7000 francs","Temps partiel (< 90%)",X,X
"2002","Tessin (TI)","7001-  8000 francs","Plein temps (>= 90%)",3.7,1.6
"2002","Tessin (TI)","7001-  8000 francs","Temps partiel (< 90%)",X,X
"2002","Tessin (TI)","8001-  9000 francs","Plein temps (>= 90%)",2.3,0.6
"2002","Tessin (TI)","8001-  9000 francs","Temps partiel (< 90%)",X,X
"2002","Tessin (TI)","9001-10000 francs","Plein temps (>= 90%)",1.4,0.4
"2002","Tessin (TI)","9001-10000 francs","Temps partiel (< 90%)",X,X
"2002","Tessin (TI)","10001-11000 francs","Plein temps (>= 90%)",1.0,X
"2002","Tessin (TI)","10001-11000 francs","Temps partiel (< 90%)",X,*
"2002","Tessin (TI)","11001-12000 francs","Plein temps (>= 90%)",0.7,X
"2002","Tessin (TI)","11001-12000 francs","Temps partiel (< 90%)",X,X
"2002","Tessin (TI)","12001-13000 francs","Plein temps (>= 90%)",0.5,X
"2002","Tessin (TI)","12001-13000 francs","Temps partiel (< 90%)",X,X
"2002","Tessin (TI)","13001-14000 francs","Plein temps (>= 90%)",0.4,X
"2002","Tessin (TI)","13001-14000 francs","Temps partiel (< 90%)",X,*
"2002","Tessin (TI)","14001-15000 francs","Plein temps (>= 90%)",0.4,X
"2002","Tessin (TI)","14001-15000 francs","Temps partiel (< 90%)",X,*
"2002","Tessin (TI)","15001-16000 francs","Plein temps (>= 90%)",0.3,X
"2002","Tessin (TI)","15001-16000 francs","Temps partiel (< 90%)",X,*
"2002","Tessin (TI)","16001-17000 francs","Plein temps (>= 90%)",X,X
"2002","Tessin (TI)","16001-17000 francs","Temps partiel (< 90%)",X,*
"2002","Tessin (TI)","17001-18000 francs","Plein temps (>= 90%)",X,X
"2002","Tessin (TI)","17001-18000 francs","Temps partiel (< 90%)",X,*
"2002","Tessin (TI)","18001-19000 francs","Plein temps (>= 90%)",X,X
"2002","Tessin (TI)","18001-19000 francs","Temps partiel (< 90%)",*,*
"2002","Tessin (TI)","19001-20000 francs","Plein temps (>= 90%)",X,X
"2002","Tessin (TI)","19001-20000 francs","Temps partiel (< 90%)",X,X
"2002","Tessin (TI)","20001+ francs","Plein temps (>= 90%)",0.7,X
"2002","Tessin (TI)","20001+ francs","Temps partiel (< 90%)",X,*
"2004","Région lémanique (VD, VS, GE)","0-  1000 francs","Plein temps (>= 90%)",X,X
"2004","Région lémanique (VD, VS, GE)","0-  1000 francs","Temps partiel (< 90%)",22.8,18.4
"2004","Région lémanique (VD, VS, GE)","1001-  2000 francs","Plein temps (>= 90%)",0.1,0.5
"2004","Région lémanique (VD, VS, GE)","1001-  2000 francs","Temps partiel (< 90%)",22.0,23.1
"2004","Région lémanique (VD, VS, GE)","2001-  3000 francs","Plein temps (>= 90%)",2.1,8.1
"2004","Région lémanique (VD, VS, GE)","2001-  3000 francs","Temps partiel (< 90%)",19.9,25.4
"2004","Région lémanique (VD, VS, GE)","3001-  4000 francs","Plein temps (>= 90%)",14.2,28.3
"2004","Région lémanique (VD, VS, GE)","3001-  4000 francs","Temps partiel (< 90%)",16.5,17.0
"2004","Région lémanique (VD, VS, GE)","4001-  5000 francs","Plein temps (>= 90%)",26.2,23.2
"2004","Région lémanique (VD, VS, GE)","4001-  5000 francs","Temps partiel (< 90%)",9.6,8.9
"2004","Région lémanique (VD, VS, GE)","5001-  6000 francs","Plein temps (>= 90%)",19.3,15.1
"2004","Région lémanique (VD, VS, GE)","5001-  6000 francs","Temps partiel (< 90%)",4.4,4.2
"2004","Région lémanique (VD, VS, GE)","6001-  7000 francs","Plein temps (>= 90%)",11.6,9.8
"2004","Région lémanique (VD, VS, GE)","6001-  7000 francs","Temps partiel (< 90%)",1.9,1.4
"2004","Région lémanique (VD, VS, GE)","7001-  8000 francs","Plein temps (>= 90%)",7.1,5.4
"2004","Région lémanique (VD, VS, GE)","7001-  8000 francs","Temps partiel (< 90%)",1.0,0.5
"2004","Région lémanique (VD, VS, GE)","8001-  9000 francs","Plein temps (>= 90%)",4.6,3.2
"2004","Région lémanique (VD, VS, GE)","8001-  9000 francs","Temps partiel (< 90%)",0.4,0.2
"2004","Région lémanique (VD, VS, GE)","9001-10000 francs","Plein temps (>= 90%)",3.2,1.8
"2004","Région lémanique (VD, VS, GE)","9001-10000 francs","Temps partiel (< 90%)",X,0.1
"2004","Région lémanique (VD, VS, GE)","10001-11000 francs","Plein temps (>= 90%)",2.5,1.2
"2004","Région lémanique (VD, VS, GE)","10001-11000 francs","Temps partiel (< 90%)",X,X
"2004","Région lémanique (VD, VS, GE)","11001-12000 francs","Plein temps (>= 90%)",1.7,0.7
"2004","Région lémanique (VD, VS, GE)","11001-12000 francs","Temps partiel (< 90%)",X,X
"2004","Région lémanique (VD, VS, GE)","12001-13000 francs","Plein temps (>= 90%)",1.3,0.5
"2004","Région lémanique (VD, VS, GE)","12001-13000 francs","Temps partiel (< 90%)",X,X
"2004","Région lémanique (VD, VS, GE)","13001-14000 francs","Plein temps (>= 90%)",0.9,0.3
"2004","Région lémanique (VD, VS, GE)","13001-14000 francs","Temps partiel (< 90%)",X,X
"2004","Région lémanique (VD, VS, GE)","14001-15000 francs","Plein temps (>= 90%)",0.7,0.2
"2004","Région lémanique (VD, VS, GE)","14001-15000 francs","Temps partiel (< 90%)",X,X
"2004","Région lémanique (VD, VS, GE)","15001-16000 francs","Plein temps (>= 90%)",0.5,0.1
"2004","Région lémanique (VD, VS, GE)","15001-16000 francs","Temps partiel (< 90%)",X,X
"2004","Région lémanique (VD, VS, GE)","16001-17000 francs","Plein temps (>= 90%)",0.4,0.1
"2004","Région lémanique (VD, VS, GE)","16001-17000 francs","Temps partiel (< 90%)",X,X
"2004","Région lémanique (VD, VS, GE)","17001-18000 francs","Plein temps (>= 90%)",0.4,X
"2004","Région lémanique (VD, VS, GE)","17001-18000 francs","Temps partiel (< 90%)",X,X
"2004","Région lémanique (VD, VS, GE)","18001-19000 francs","Plein temps (>= 90%)",0.3,X
"2004","Région lémanique (VD, VS, GE)","18001-19000 francs","Temps partiel (< 90%)",X,X
"2004","Région lémanique (VD, VS, GE)","19001-20000 francs","Plein temps (>= 90%)",0.2,X
"2004","Région lémanique (VD, VS, GE)","19001-20000 francs","Temps partiel (< 90%)",X,X
"2004","Région lémanique (VD, VS, GE)","20001+ francs","Plein temps (>= 90%)",1.8,0.4
"2004","Région lémanique (VD, VS, GE)","20001+ francs","Temps partiel (< 90%)",X,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","0-  1000 francs","Plein temps (>= 90%)",X,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","0-  1000 francs","Temps partiel (< 90%)",23.3,22.3
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","1001-  2000 francs","Plein temps (>= 90%)",0.0,0.3
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","1001-  2000 francs","Temps partiel (< 90%)",17.9,25.4
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","2001-  3000 francs","Plein temps (>= 90%)",1.2,7.2
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","2001-  3000 francs","Temps partiel (< 90%)",17.9,25.1
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","3001-  4000 francs","Plein temps (>= 90%)",12.0,38.7
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","3001-  4000 francs","Temps partiel (< 90%)",16.0,14.6
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","4001-  5000 francs","Plein temps (>= 90%)",30.3,26.2
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","4001-  5000 francs","Temps partiel (< 90%)",10.2,7.7
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","5001-  6000 francs","Plein temps (>= 90%)",21.7,14.1
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","5001-  6000 francs","Temps partiel (< 90%)",6.3,2.9
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","6001-  7000 francs","Plein temps (>= 90%)",12.6,6.5
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","6001-  7000 francs","Temps partiel (< 90%)",3.7,1.0
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","7001-  8000 francs","Plein temps (>= 90%)",7.6,3.0
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","7001-  8000 francs","Temps partiel (< 90%)",2.2,0.3
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","8001-  9000 francs","Plein temps (>= 90%)",4.9,1.5
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","8001-  9000 francs","Temps partiel (< 90%)",0.9,0.1
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","9001-10000 francs","Plein temps (>= 90%)",3.3,0.8
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","9001-10000 francs","Temps partiel (< 90%)",0.4,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","10001-11000 francs","Plein temps (>= 90%)",2.0,0.5
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","10001-11000 francs","Temps partiel (< 90%)",0.3,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","11001-12000 francs","Plein temps (>= 90%)",1.2,0.2
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","11001-12000 francs","Temps partiel (< 90%)",X,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","12001-13000 francs","Plein temps (>= 90%)",0.7,0.1
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","12001-13000 francs","Temps partiel (< 90%)",X,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","13001-14000 francs","Plein temps (>= 90%)",0.4,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","13001-14000 francs","Temps partiel (< 90%)",X,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","14001-15000 francs","Plein temps (>= 90%)",0.3,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","14001-15000 francs","Temps partiel (< 90%)",X,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","15001-16000 francs","Plein temps (>= 90%)",0.2,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","15001-16000 francs","Temps partiel (< 90%)",X,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","16001-17000 francs","Plein temps (>= 90%)",0.1,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","16001-17000 francs","Temps partiel (< 90%)",X,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","17001-18000 francs","Plein temps (>= 90%)",0.1,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","17001-18000 francs","Temps partiel (< 90%)",X,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","18001-19000 francs","Plein temps (>= 90%)",0.1,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","18001-19000 francs","Temps partiel (< 90%)",X,*
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","19001-20000 francs","Plein temps (>= 90%)",0.0,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","19001-20000 francs","Temps partiel (< 90%)",*,*
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","20001+ francs","Plein temps (>= 90%)",0.4,X
"2004","Espace Mittelland (BE, FR, SO, NE, JU)","20001+ francs","Temps partiel (< 90%)",X,X
"2004","Suisse du Nord-Ouest (BS, BL, AG)","0-  1000 francs","Plein temps (>= 90%)",X,X
"2004","Suisse du Nord-Ouest (BS, BL, AG)","0-  1000 francs","Temps partiel (< 90%)",22.6,22.0
"2004","Suisse du Nord-Ouest (BS, BL, AG)","1001-  2000 francs","Plein temps (>= 90%)",0.1,0.2
"2004","Suisse du Nord-Ouest (BS, BL, AG)","1001-  2000 francs","Temps partiel (< 90%)",20.3,24.7
"2004","Suisse du Nord-Ouest (BS, BL, AG)","2001-  3000 francs","Plein temps (>= 90%)",0.8,4.8
"2004","Suisse du Nord-Ouest (BS, BL, AG)","2001-  3000 francs","Temps partiel (< 90%)",19.1,24.7
"2004","Suisse du Nord-Ouest (BS, BL, AG)","3001-  4000 francs","Plein temps (>= 90%)",10.4,31.8
"2004","Suisse du Nord-Ouest (BS, BL, AG)","3001-  4000 francs","Temps partiel (< 90%)",15.7,15.1
"2004","Suisse du Nord-Ouest (BS, BL, AG)","4001-  5000 francs","Plein temps (>= 90%)",25.8,25.0
"2004","Suisse du Nord-Ouest (BS, BL, AG)","4001-  5000 francs","Temps partiel (< 90%)",10.2,8.0
"2004","Suisse du Nord-Ouest (BS, BL, AG)","5001-  6000 francs","Plein temps (>= 90%)",21.1,16.5
"2004","Suisse du Nord-Ouest (BS, BL, AG)","5001-  6000 francs","Temps partiel (< 90%)",5.8,3.2
"2004","Suisse du Nord-Ouest (BS, BL, AG)","6001-  7000 francs","Plein temps (>= 90%)",14.2,9.4
"2004","Suisse du Nord-Ouest (BS, BL, AG)","6001-  7000 francs","Temps partiel (< 90%)",2.9,1.0
"2004","Suisse du Nord-Ouest (BS, BL, AG)","7001-  8000 francs","Plein temps (>= 90%)",9.7,4.7
"2004","Suisse du Nord-Ouest (BS, BL, AG)","7001-  8000 francs","Temps partiel (< 90%)",1.3,0.4
"2004","Suisse du Nord-Ouest (BS, BL, AG)","8001-  9000 francs","Plein temps (>= 90%)",5.6,2.6
"2004","Suisse du Nord-Ouest (BS, BL, AG)","8001-  9000 francs","Temps partiel (< 90%)",0.6,0.1
"2004","Suisse du Nord-Ouest (BS, BL, AG)","9001-10000 francs","Plein temps (>= 90%)",3.7,1.5
"2004","Suisse du Nord-Ouest (BS, BL, AG)","9001-10000 francs","Temps partiel (< 90%)",X,X
"2004","Suisse du Nord-Ouest (BS, BL, AG)","10001-11000 francs","Plein temps (>= 90%)",2.3,0.9
"2004","Suisse du Nord-Ouest (BS, BL, AG)","10001-11000 francs","Temps partiel (< 90%)",X,X
"2004","Suisse du Nord-Ouest (BS, BL, AG)","11001-12000 francs","Plein temps (>= 90%)",1.6,0.6
"2004","Suisse du Nord-Ouest (BS, BL, AG)","11001-12000 francs","Temps partiel (< 90%)",X,X
"2004","Suisse du Nord-Ouest (BS, BL, AG)","12001-13000 francs","Plein temps (>= 90%)",1.0,0.4
"2004","Suisse du Nord-Ouest (BS, BL, AG)","12001-13000 francs","Temps partiel (< 90%)",X,X
"2004","Suisse du Nord-Ouest (BS, BL, AG)","13001-14000 francs","Plein temps (>= 90%)",0.7,0.2
"2004","Suisse du Nord-Ouest (BS, BL, AG)","13001-14000 francs","Temps partiel (< 90%)",X,X
"2004","Suisse du Nord-Ouest (BS, BL, AG)","14001-15000 francs","Plein temps (>= 90%)",0.5,0.2
"2004","Suisse du Nord-Ouest (BS, BL, AG)","14001-15000 francs","Temps partiel (< 90%)",X,X
"2004","Suisse du Nord-Ouest (BS, BL, AG)","15001-16000 francs","Plein temps (>= 90%)",0.4,0.1
"2004","Suisse du Nord-Ouest (BS, BL, AG)","15001-16000 francs","Temps partiel (< 90%)",X,X
"2004","Suisse du Nord-Ouest (BS, BL, AG)","16001-17000 francs","Plein temps (>= 90%)",0.3,X
"2004","Suisse du Nord-Ouest (BS, BL, AG)","16001-17000 francs","Temps partiel (< 90%)",X,X
"2004","Suisse du Nord-Ouest (BS, BL, AG)","17001-18000 francs","Plein temps (>= 90%)",0.2,X
"2004","Suisse du Nord-Ouest (BS, BL, AG)","17001-18000 francs","Temps partiel (< 90%)",*,X
"2004","Suisse du Nord-Ouest (BS, BL, AG)","18001-19000 francs","Plein temps (>= 90%)",0.1,X
"2004","Suisse du Nord-Ouest (BS, BL, AG)","18001-19000 francs","Temps partiel (< 90%)",X,*
"2004","Suisse du Nord-Ouest (BS, BL, AG)","19001-20000 francs","Plein temps (>= 90%)",0.1,X
"2004","Suisse du Nord-Ouest (BS, BL, AG)","19001-20000 francs","Temps partiel (< 90%)",*,*
"2004","Suisse du Nord-Ouest (BS, BL, AG)","20001+ francs","Plein temps (>= 90%)",0.7,0.1
"2004","Suisse du Nord-Ouest (BS, BL, AG)","20001+ francs","Temps partiel (< 90%)",X,X
"2004","Zurich (ZH)","0-  1000 francs","Plein temps (>= 90%)",X,X
"2004","Zurich (ZH)","0-  1000 francs","Temps partiel (< 90%)",25.5,20.0
"2004","Zurich (ZH)","1001-  2000 francs","Plein temps (>= 90%)",0.0,0.1
"2004","Zurich (ZH)","1001-  2000 francs","Temps partiel (< 90%)",18.6,23.1
"2004","Zurich (ZH)","2001-  3000 francs","Plein temps (>= 90%)",0.8,2.5
"2004","Zurich (ZH)","2001-  3000 francs","Temps partiel (< 90%)",16.2,25.3
"2004","Zurich (ZH)","3001-  4000 francs","Plein temps (>= 90%)",8.5,29.9
"2004","Zurich (ZH)","3001-  4000 francs","Temps partiel (< 90%)",13.4,14.9
"2004","Zurich (ZH)","4001-  5000 francs","Plein temps (>= 90%)",21.0,25.2
"2004","Zurich (ZH)","4001-  5000 francs","Temps partiel (< 90%)",9.7,9.0
"2004","Zurich (ZH)","5001-  6000 francs","Plein temps (>= 90%)",20.0,17.8
"2004","Zurich (ZH)","5001-  6000 francs","Temps partiel (< 90%)",6.7,4.3
"2004","Zurich (ZH)","6001-  7000 francs","Plein temps (>= 90%)",14.2,10.3
"2004","Zurich (ZH)","6001-  7000 francs","Temps partiel (< 90%)",4.0,1.7
"2004","Zurich (ZH)","7001-  8000 francs","Plein temps (>= 90%)",9.6,5.6
"2004","Zurich (ZH)","7001-  8000 francs","Temps partiel (< 90%)",2.4,0.7
"2004","Zurich (ZH)","8001-  9000 francs","Plein temps (>= 90%)",6.9,3.0
"2004","Zurich (ZH)","8001-  9000 francs","Temps partiel (< 90%)",1.4,0.2
"2004","Zurich (ZH)","9001-10000 francs","Plein temps (>= 90%)",5.0,1.7
"2004","Zurich (ZH)","9001-10000 francs","Temps partiel (< 90%)",0.5,0.1
"2004","Zurich (ZH)","10001-11000 francs","Plein temps (>= 90%)",3.4,1.0
"2004","Zurich (ZH)","10001-11000 francs","Temps partiel (< 90%)",0.3,X
"2004","Zurich (ZH)","11001-12000 francs","Plein temps (>= 90%)",2.3,0.6
"2004","Zurich (ZH)","11001-12000 francs","Temps partiel (< 90%)",X,X
"2004","Zurich (ZH)","12001-13000 francs","Plein temps (>= 90%)",1.6,0.4
"2004","Zurich (ZH)","12001-13000 francs","Temps partiel (< 90%)",X,X
"2004","Zurich (ZH)","13001-14000 francs","Plein temps (>= 90%)",1.2,0.3
"2004","Zurich (ZH)","13001-14000 francs","Temps partiel (< 90%)",X,X
"2004","Zurich (ZH)","14001-15000 francs","Plein temps (>= 90%)",0.9,0.2
"2004","Zurich (ZH)","14001-15000 francs","Temps partiel (< 90%)",X,X
"2004","Zurich (ZH)","15001-16000 francs","Plein temps (>= 90%)",0.6,0.1
"2004","Zurich (ZH)","15001-16000 francs","Temps partiel (< 90%)",X,X
"2004","Zurich (ZH)","16001-17000 francs","Plein temps (>= 90%)",0.5,0.0
"2004","Zurich (ZH)","16001-17000 francs","Temps partiel (< 90%)",X,X
"2004","Zurich (ZH)","17001-18000 francs","Plein temps (>= 90%)",0.4,X
"2004","Zurich (ZH)","17001-18000 francs","Temps partiel (< 90%)",X,X
"2004","Zurich (ZH)","18001-19000 francs","Plein temps (>= 90%)",0.3,X
"2004","Zurich (ZH)","18001-19000 francs","Temps partiel (< 90%)",X,X
"2004","Zurich (ZH)","19001-20000 francs","Plein temps (>= 90%)",0.2,X
"2004","Zurich (ZH)","19001-20000 francs","Temps partiel (< 90%)",X,*
"2004","Zurich (ZH)","20001+ francs","Plein temps (>= 90%)",1.8,0.2
"2004","Zurich (ZH)","20001+ francs","Temps partiel (< 90%)",X,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","0-  1000 francs","Plein temps (>= 90%)",X,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","0-  1000 francs","Temps partiel (< 90%)",22.5,26.5
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","1001-  2000 francs","Plein temps (>= 90%)",X,0.5
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","1001-  2000 francs","Temps partiel (< 90%)",20.7,28.5
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","2001-  3000 francs","Plein temps (>= 90%)",1.7,11.1
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","2001-  3000 francs","Temps partiel (< 90%)",19.6,24.9
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","3001-  4000 francs","Plein temps (>= 90%)",13.4,42.9
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","3001-  4000 francs","Temps partiel (< 90%)",16.3,11.7
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","4001-  5000 francs","Plein temps (>= 90%)",32.8,26.3
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","4001-  5000 francs","Temps partiel (< 90%)",11.4,5.3
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","5001-  6000 francs","Plein temps (>= 90%)",23.2,10.8
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","5001-  6000 francs","Temps partiel (< 90%)",4.5,1.9
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","6001-  7000 francs","Plein temps (>= 90%)",12.1,4.4
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","6001-  7000 francs","Temps partiel (< 90%)",2.2,0.5
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","7001-  8000 francs","Plein temps (>= 90%)",6.5,1.8
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","7001-  8000 francs","Temps partiel (< 90%)",1.1,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","8001-  9000 francs","Plein temps (>= 90%)",3.5,0.7
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","8001-  9000 francs","Temps partiel (< 90%)",X,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","9001-10000 francs","Plein temps (>= 90%)",2.2,0.4
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","9001-10000 francs","Temps partiel (< 90%)",X,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","10001-11000 francs","Plein temps (>= 90%)",1.2,0.2
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","10001-11000 francs","Temps partiel (< 90%)",X,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","11001-12000 francs","Plein temps (>= 90%)",0.8,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","11001-12000 francs","Temps partiel (< 90%)",X,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","12001-13000 francs","Plein temps (>= 90%)",0.4,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","12001-13000 francs","Temps partiel (< 90%)",X,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","13001-14000 francs","Plein temps (>= 90%)",0.3,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","13001-14000 francs","Temps partiel (< 90%)",X,*
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","14001-15000 francs","Plein temps (>= 90%)",0.2,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","14001-15000 francs","Temps partiel (< 90%)",X,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","15001-16000 francs","Plein temps (>= 90%)",0.2,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","15001-16000 francs","Temps partiel (< 90%)",X,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","16001-17000 francs","Plein temps (>= 90%)",0.1,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","16001-17000 francs","Temps partiel (< 90%)",X,*
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","17001-18000 francs","Plein temps (>= 90%)",0.0,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","17001-18000 francs","Temps partiel (< 90%)",X,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","18001-19000 francs","Plein temps (>= 90%)",0.0,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","18001-19000 francs","Temps partiel (< 90%)",*,*
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","19001-20000 francs","Plein temps (>= 90%)",0.0,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","19001-20000 francs","Temps partiel (< 90%)",X,*
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","20001+ francs","Plein temps (>= 90%)",0.3,X
"2004","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","20001+ francs","Temps partiel (< 90%)",X,X
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","0-  1000 francs","Plein temps (>= 90%)",X,X
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","0-  1000 francs","Temps partiel (< 90%)",23.2,27.9
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","1001-  2000 francs","Plein temps (>= 90%)",X,0.6
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","1001-  2000 francs","Temps partiel (< 90%)",20.1,27.2
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","2001-  3000 francs","Plein temps (>= 90%)",1.3,6.9
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","2001-  3000 francs","Temps partiel (< 90%)",17.4,22.3
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","3001-  4000 francs","Plein temps (>= 90%)",12.0,37.4
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","3001-  4000 francs","Temps partiel (< 90%)",15.7,12.1
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","4001-  5000 francs","Plein temps (>= 90%)",31.1,26.2
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","4001-  5000 francs","Temps partiel (< 90%)",11.8,6.3
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","5001-  6000 francs","Plein temps (>= 90%)",21.9,14.4
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","5001-  6000 francs","Temps partiel (< 90%)",6.0,2.6
"2004","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","6001-  7000 francs","Plein temps (>= 90%)",12.3,6.7
