"Année","Grande région","Classe de salaires nets","Taux d'occupation","Homme","Femme"
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","5001-  6000 francs","Temps partiel (< 90%)",5.6,2.0
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","6001-  7000 francs","Plein temps (>= 90%)",12.2,5.1
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","6001-  7000 francs","Temps partiel (< 90%)",2.8,0.6
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","7001-  8000 francs","Plein temps (>= 90%)",7.2,2.4
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","7001-  8000 francs","Temps partiel (< 90%)",1.4,0.2
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","8001-  9000 francs","Plein temps (>= 90%)",4.4,1.2
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","8001-  9000 francs","Temps partiel (< 90%)",0.6,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","9001-10000 francs","Plein temps (>= 90%)",2.7,0.5
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","9001-10000 francs","Temps partiel (< 90%)",0.3,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","10001-11000 francs","Plein temps (>= 90%)",1.7,0.2
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","10001-11000 francs","Temps partiel (< 90%)",X,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","11001-12000 francs","Plein temps (>= 90%)",1.0,0.1
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","11001-12000 francs","Temps partiel (< 90%)",X,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","12001-13000 francs","Plein temps (>= 90%)",0.6,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","12001-13000 francs","Temps partiel (< 90%)",X,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","13001-14000 francs","Plein temps (>= 90%)",0.3,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","13001-14000 francs","Temps partiel (< 90%)",X,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","14001-15000 francs","Plein temps (>= 90%)",0.2,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","14001-15000 francs","Temps partiel (< 90%)",X,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","15001-16000 francs","Plein temps (>= 90%)",0.1,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","15001-16000 francs","Temps partiel (< 90%)",X,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","16001-17000 francs","Plein temps (>= 90%)",0.1,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","16001-17000 francs","Temps partiel (< 90%)",X,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","17001-18000 francs","Plein temps (>= 90%)",0.0,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","17001-18000 francs","Temps partiel (< 90%)",*,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","18001-19000 francs","Plein temps (>= 90%)",0.0,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","18001-19000 francs","Temps partiel (< 90%)",X,*
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","19001-20000 francs","Plein temps (>= 90%)",0.0,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","19001-20000 francs","Temps partiel (< 90%)",X,*
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","20001+ francs","Plein temps (>= 90%)",0.2,X
"2002","Espace Mittelland (BE, FR, SO, NE, JU)","20001+ francs","Temps partiel (< 90%)",X,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","0-  1000 francs","Plein temps (>= 90%)",X,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","0-  1000 francs","Temps partiel (< 90%)",21.0,20.3
"2002","Suisse du Nord-Ouest (BS, BL, AG)","1001-  2000 francs","Plein temps (>= 90%)",0.1,0.4
"2002","Suisse du Nord-Ouest (BS, BL, AG)","1001-  2000 francs","Temps partiel (< 90%)",17.6,25.1
"2002","Suisse du Nord-Ouest (BS, BL, AG)","2001-  3000 francs","Plein temps (>= 90%)",1.6,7.7
"2002","Suisse du Nord-Ouest (BS, BL, AG)","2001-  3000 francs","Temps partiel (< 90%)",17.5,26.7
"2002","Suisse du Nord-Ouest (BS, BL, AG)","3001-  4000 francs","Plein temps (>= 90%)",10.6,32.4
"2002","Suisse du Nord-Ouest (BS, BL, AG)","3001-  4000 francs","Temps partiel (< 90%)",17.7,15.2
"2002","Suisse du Nord-Ouest (BS, BL, AG)","4001-  5000 francs","Plein temps (>= 90%)",26.7,25.3
"2002","Suisse du Nord-Ouest (BS, BL, AG)","4001-  5000 francs","Temps partiel (< 90%)",12.5,8.0
"2002","Suisse du Nord-Ouest (BS, BL, AG)","5001-  6000 francs","Plein temps (>= 90%)",21.4,16.0
"2002","Suisse du Nord-Ouest (BS, BL, AG)","5001-  6000 francs","Temps partiel (< 90%)",7.0,2.9
"2002","Suisse du Nord-Ouest (BS, BL, AG)","6001-  7000 francs","Plein temps (>= 90%)",14.0,8.4
"2002","Suisse du Nord-Ouest (BS, BL, AG)","6001-  7000 francs","Temps partiel (< 90%)",2.9,0.9
"2002","Suisse du Nord-Ouest (BS, BL, AG)","7001-  8000 francs","Plein temps (>= 90%)",8.8,4.0
"2002","Suisse du Nord-Ouest (BS, BL, AG)","7001-  8000 francs","Temps partiel (< 90%)",1.6,0.3
"2002","Suisse du Nord-Ouest (BS, BL, AG)","8001-  9000 francs","Plein temps (>= 90%)",5.2,2.0
"2002","Suisse du Nord-Ouest (BS, BL, AG)","8001-  9000 francs","Temps partiel (< 90%)",X,0.1
"2002","Suisse du Nord-Ouest (BS, BL, AG)","9001-10000 francs","Plein temps (>= 90%)",3.5,1.2
"2002","Suisse du Nord-Ouest (BS, BL, AG)","9001-10000 francs","Temps partiel (< 90%)",X,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","10001-11000 francs","Plein temps (>= 90%)",2.2,0.5
"2002","Suisse du Nord-Ouest (BS, BL, AG)","10001-11000 francs","Temps partiel (< 90%)",X,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","11001-12000 francs","Plein temps (>= 90%)",1.4,0.4
"2002","Suisse du Nord-Ouest (BS, BL, AG)","11001-12000 francs","Temps partiel (< 90%)",X,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","12001-13000 francs","Plein temps (>= 90%)",0.9,0.3
"2002","Suisse du Nord-Ouest (BS, BL, AG)","12001-13000 francs","Temps partiel (< 90%)",X,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","13001-14000 francs","Plein temps (>= 90%)",0.7,0.1
"2002","Suisse du Nord-Ouest (BS, BL, AG)","13001-14000 francs","Temps partiel (< 90%)",X,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","14001-15000 francs","Plein temps (>= 90%)",0.5,0.1
"2002","Suisse du Nord-Ouest (BS, BL, AG)","14001-15000 francs","Temps partiel (< 90%)",X,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","15001-16000 francs","Plein temps (>= 90%)",0.3,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","15001-16000 francs","Temps partiel (< 90%)",X,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","16001-17000 francs","Plein temps (>= 90%)",0.2,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","16001-17000 francs","Temps partiel (< 90%)",X,*
"2002","Suisse du Nord-Ouest (BS, BL, AG)","17001-18000 francs","Plein temps (>= 90%)",0.1,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","17001-18000 francs","Temps partiel (< 90%)",X,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","18001-19000 francs","Plein temps (>= 90%)",0.1,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","18001-19000 francs","Temps partiel (< 90%)",X,*
"2002","Suisse du Nord-Ouest (BS, BL, AG)","19001-20000 francs","Plein temps (>= 90%)",0.1,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","19001-20000 francs","Temps partiel (< 90%)",X,*
"2002","Suisse du Nord-Ouest (BS, BL, AG)","20001+ francs","Plein temps (>= 90%)",0.6,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","20001+ francs","Temps partiel (< 90%)",X,*
"2002","Zurich (ZH)","0-  1000 francs","Plein temps (>= 90%)",X,X
"2002","Zurich (ZH)","0-  1000 francs","Temps partiel (< 90%)",24.7,20.5
"2002","Zurich (ZH)","1001-  2000 francs","Plein temps (>= 90%)",0.0,0.2
"2002","Zurich (ZH)","1001-  2000 francs","Temps partiel (< 90%)",18.0,23.9
"2002","Zurich (ZH)","2001-  3000 francs","Plein temps (>= 90%)",0.9,4.8
"2002","Zurich (ZH)","2001-  3000 francs","Temps partiel (< 90%)",15.6,24.4
"2002","Zurich (ZH)","3001-  4000 francs","Plein temps (>= 90%)",8.3,25.9
"2002","Zurich (ZH)","3001-  4000 francs","Temps partiel (< 90%)",13.4,14.9
"2002","Zurich (ZH)","4001-  5000 francs","Plein temps (>= 90%)",20.7,25.0
"2002","Zurich (ZH)","4001-  5000 francs","Temps partiel (< 90%)",11.6,9.0
"2002","Zurich (ZH)","5001-  6000 francs","Plein temps (>= 90%)",19.7,18.7
"2002","Zurich (ZH)","5001-  6000 francs","Temps partiel (< 90%)",7.0,4.4
"2002","Zurich (ZH)","6001-  7000 francs","Plein temps (>= 90%)",14.6,11.0
"2002","Zurich (ZH)","6001-  7000 francs","Temps partiel (< 90%)",4.1,1.5
"2002","Zurich (ZH)","7001-  8000 francs","Plein temps (>= 90%)",9.9,5.9
"2002","Zurich (ZH)","7001-  8000 francs","Temps partiel (< 90%)",2.5,0.6
"2002","Zurich (ZH)","8001-  9000 francs","Plein temps (>= 90%)",7.2,3.1
"2002","Zurich (ZH)","8001-  9000 francs","Temps partiel (< 90%)",1.1,0.2
"2002","Zurich (ZH)","9001-10000 francs","Plein temps (>= 90%)",5.1,1.7
"2002","Zurich (ZH)","9001-10000 francs","Temps partiel (< 90%)",0.6,0.1
"2002","Zurich (ZH)","10001-11000 francs","Plein temps (>= 90%)",3.6,1.0
"2002","Zurich (ZH)","10001-11000 francs","Temps partiel (< 90%)",X,X
"2002","Zurich (ZH)","11001-12000 francs","Plein temps (>= 90%)",2.3,0.6
"2002","Zurich (ZH)","11001-12000 francs","Temps partiel (< 90%)",X,X
"2002","Zurich (ZH)","12001-13000 francs","Plein temps (>= 90%)",1.4,0.3
"2002","Zurich (ZH)","12001-13000 francs","Temps partiel (< 90%)",X,X
"2002","Zurich (ZH)","13001-14000 francs","Plein temps (>= 90%)",1.2,0.2
"2002","Zurich (ZH)","13001-14000 francs","Temps partiel (< 90%)",X,X
"2002","Zurich (ZH)","14001-15000 francs","Plein temps (>= 90%)",0.8,0.1
"2002","Zurich (ZH)","14001-15000 francs","Temps partiel (< 90%)",X,X
"2002","Zurich (ZH)","15001-16000 francs","Plein temps (>= 90%)",0.6,0.1
"2002","Zurich (ZH)","15001-16000 francs","Temps partiel (< 90%)",X,X
"2002","Zurich (ZH)","16001-17000 francs","Plein temps (>= 90%)",0.5,0.1
"2002","Zurich (ZH)","16001-17000 francs","Temps partiel (< 90%)",X,*
"2002","Zurich (ZH)","17001-18000 francs","Plein temps (>= 90%)",0.4,X
"2002","Zurich (ZH)","17001-18000 francs","Temps partiel (< 90%)",X,X
"2002","Zurich (ZH)","18001-19000 francs","Plein temps (>= 90%)",0.2,X
"2002","Zurich (ZH)","18001-19000 francs","Temps partiel (< 90%)",X,X
"2002","Zurich (ZH)","19001-20000 francs","Plein temps (>= 90%)",0.2,X
"2002","Zurich (ZH)","19001-20000 francs","Temps partiel (< 90%)",X,*
"2002","Zurich (ZH)","20001+ francs","Plein temps (>= 90%)",1.6,0.2
"2002","Zurich (ZH)","20001+ francs","Temps partiel (< 90%)",X,X
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","0-  1000 francs","Plein temps (>= 90%)",X,X
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","0-  1000 francs","Temps partiel (< 90%)",23.5,25.8
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","1001-  2000 francs","Plein temps (>= 90%)",0.1,0.5
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","1001-  2000 francs","Temps partiel (< 90%)",17.9,29.6
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","2001-  3000 francs","Plein temps (>= 90%)",2.4,15.3
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","2001-  3000 francs","Temps partiel (< 90%)",17.6,25.0
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","3001-  4000 francs","Plein temps (>= 90%)",13.0,43.0
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","3001-  4000 francs","Temps partiel (< 90%)",19.3,12.0
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","4001-  5000 francs","Plein temps (>= 90%)",34.1,23.6
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","4001-  5000 francs","Temps partiel (< 90%)",11.2,4.9
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","5001-  6000 francs","Plein temps (>= 90%)",22.7,10.4
"2002","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","5001-  6000 francs","Temps partiel (< 90%)",5.6,1.7
