"Année","Grande région","Formation","Position professionnelle","Homme Médiane","Femme Médiane"
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Maturité","Position professionnelle - Total",6244,4409
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Apprentissage complet (CFC)","Position professionnelle - Total",5542,4658
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Formation acquise en entreprise","Position professionnelle - Total",5027,3848
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Sans formation prof. complète","Position professionnelle - Total",4662,3625
"2002","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Autres formations complètes","Position professionnelle - Total",5413,4167
"2002","Tessin (TI)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",8542,6485
"2002","Tessin (TI)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",7222,6117
"2002","Tessin (TI)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",6136,4894
"2002","Tessin (TI)","Brevet d'enseignement","Position professionnelle - Total",5354,5554
"2002","Tessin (TI)","Maturité","Position professionnelle - Total",5943,4697
"2002","Tessin (TI)","Apprentissage complet (CFC)","Position professionnelle - Total",5048,4334
"2002","Tessin (TI)","Formation acquise en entreprise","Position professionnelle - Total",4550,3088
"2002","Tessin (TI)","Sans formation prof. complète","Position professionnelle - Total",4081,3158
"2002","Tessin (TI)","Autres formations complètes","Position professionnelle - Total",4672,3414
"2004","Région lémanique (VD, VS, GE)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",10333,7875
"2004","Région lémanique (VD, VS, GE)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",8575,7179
"2004","Région lémanique (VD, VS, GE)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",7683,6425
"2004","Région lémanique (VD, VS, GE)","Brevet d'enseignement","Position professionnelle - Total",6477,6096
"2004","Région lémanique (VD, VS, GE)","Maturité","Position professionnelle - Total",7111,6143
"2004","Région lémanique (VD, VS, GE)","Apprentissage complet (CFC)","Position professionnelle - Total",5686,5004
"2004","Région lémanique (VD, VS, GE)","Formation acquise en entreprise","Position professionnelle - Total",5038,4090
"2004","Région lémanique (VD, VS, GE)","Sans formation prof. complète","Position professionnelle - Total",4572,3728
