Année,Grande région,Domaine d'activité,Homme,Femme
2010,"Suisse du Nord-Ouest (BS, BL, AG)","Transp. de personnes et de marchandises, communications",5415,4776
2010,"Suisse du Nord-Ouest (BS, BL, AG)","Services de sécurité, de surveillance",7701,6319
2010,"Suisse du Nord-Ouest (BS, BL, AG)","Activités médicales, sociales et dans le domaine des soins",6911,5935
2010,"Suisse du Nord-Ouest (BS, BL, AG)","Soins corporels, nettoyage des vêtements",4706,3798
2010,"Suisse du Nord-Ouest (BS, BL, AG)",Nettoyage et hygiène publique,4837,3941
2010,"Suisse du Nord-Ouest (BS, BL, AG)",Activités pédagogiques,8167,6403
2010,"Suisse du Nord-Ouest (BS, BL, AG)","Activités de l'hôtellerie-restauration, économie domestique",4408,4184
2010,"Suisse du Nord-Ouest (BS, BL, AG)","Culture, information, sport, loisirs et divertissements",6436,5510
2010,Zurich (ZH),ACTIVITES PROCHES DE LA PRODUCTION,6098,4808
2010,Zurich (ZH),Fabrication et transformation de produits,5834,4667
2010,Zurich (ZH),Activités de la construction,6055,5321
2010,Zurich (ZH),"Mise en service, réglage et maintenance de machines",6438,5270
2010,Zurich (ZH),"Restauration, arts manuels",6115,5159
2010,Zurich (ZH),SERVICES,7750,5440
2010,Zurich (ZH),Définition des buts et de la stratégie de l'entreprise,13725,9469
2010,Zurich (ZH),"Comptabilité, gestion du personnel",10029,7224
2010,Zurich (ZH),"Secrétariat, travaux de chancellerie",6986,6251
2010,Zurich (ZH),Autres activités commerciales et administratives,7961,6199
2010,Zurich (ZH),"Logistique, tâches d'état-major",7519,6588
2010,Zurich (ZH),"Expertises, conseils, vente",10400,7315
2010,Zurich (ZH),Achat et vente de produits de base et d'équipement,8591,6733
2010,Zurich (ZH),"Vente de biens de consommation, vente au détail",5663,4430
2010,Zurich (ZH),Recherche et développement,9171,7635
2010,Zurich (ZH),"Analyse, programmation, 'operating'",9603,7555
2010,Zurich (ZH),"Planifier, construire, réaliser, dessiner",7714,6010
2010,Zurich (ZH),"Transp. de personnes et de marchandises, communications",5598,4764
2010,Zurich (ZH),"Services de sécurité, de surveillance",7087,4846
2010,Zurich (ZH),"Activités médicales, sociales et dans le domaine des soins",7236,6281
2010,Zurich (ZH),"Soins corporels, nettoyage des vêtements",4307,3714
2010,Zurich (ZH),Nettoyage et hygiène publique,4650,3508
2010,Zurich (ZH),Activités pédagogiques,8017,6585
2010,Zurich (ZH),"Activités de l'hôtellerie-restauration, économie domestique",4458,4270
2010,Zurich (ZH),"Culture, information, sport, loisirs et divertissements",8254,7127
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)",ACTIVITES PROCHES DE LA PRODUCTION,5633,4225
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)",Fabrication et transformation de produits,5484,4160
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)",Activités de la construction,5614,4788
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Mise en service, réglage et maintenance de machines",5935,4398
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Restauration, arts manuels",5634,
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)",SERVICES,6542,4935
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)",Définition des buts et de la stratégie de l'entreprise,11086,7729
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Comptabilité, gestion du personnel",8501,6104
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Secrétariat, travaux de chancellerie",6143,5511
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)",Autres activités commerciales et administratives,6740,5308
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Logistique, tâches d'état-major",6575,5350
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Expertises, conseils, vente",8564,6222
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)",Achat et vente de produits de base et d'équipement,7821,5520
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Vente de biens de consommation, vente au détail",5767,4334
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)",Recherche et développement,8190,6649
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Analyse, programmation, 'operating'",7812,6352
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Planifier, construire, réaliser, dessiner",7044,5404
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Transp. de personnes et de marchandises, communications",5268,4759
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Services de sécurité, de surveillance",7201,5716
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Activités médicales, sociales et dans le domaine des soins",6622,5680
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Soins corporels, nettoyage des vêtements",,3680
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)",Nettoyage et hygiène publique,4850,4127
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)",Activités pédagogiques,8291,6781
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Activités de l'hôtellerie-restauration, économie domestique",4215,3952
2010,"Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Culture, information, sport, loisirs et divertissements",5262,4772
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)",ACTIVITES PROCHES DE LA PRODUCTION,5878,4383
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)",Fabrication et transformation de produits,5568,4282
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)",Activités de la construction,5894,5296
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Mise en service, réglage et maintenance de machines",6293,4563
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Restauration, arts manuels",,
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)",SERVICES,7077,5244
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)",Définition des buts et de la stratégie de l'entreprise,11694,8805
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Comptabilité, gestion du personnel",9048,6655
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Secrétariat, travaux de chancellerie",6509,5854
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)",Autres activités commerciales et administratives,7552,5728
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Logistique, tâches d'état-major",6681,5912
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Expertises, conseils, vente",9013,6671
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)",Achat et vente de produits de base et d'équipement,8584,6251
2010,"Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Vente de biens de consommation, vente au détail",6118,4385
