"Année","Grande région","Nationalité / Autorisation de résidence","Niveau de qualification","Homme Médiane","Femme Médiane"
"2006","Tessin (TI)","Suisses/étrangers - Total","Niveau 1+2",6461,5298
"2006","Tessin (TI)","Suisses/étrangers - Total","Niveau 3",5176,4640
"2006","Tessin (TI)","Suisses/étrangers - Total","Niveau 4",4366,3401
"2008","Région lémanique (VD, VS, GE)","Suisses/étrangers - Total","Niveau 1+2",8392,7029
"2008","Région lémanique (VD, VS, GE)","Suisses/étrangers - Total","Niveau 3",6113,5634
"2008","Région lémanique (VD, VS, GE)","Suisses/étrangers - Total","Niveau 4",4996,4179
"2008","Espace Mittelland (BE, FR, SO, NE, JU)","Suisses/étrangers - Total","Niveau 1+2",7647,6288
"2008","Espace Mittelland (BE, FR, SO, NE, JU)","Suisses/étrangers - Total","Niveau 3",5816,5066
"2008","Espace Mittelland (BE, FR, SO, NE, JU)","Suisses/étrangers - Total","Niveau 4",4927,4190
"2008","Suisse du Nord-Ouest (BS, BL, AG)","Suisses/étrangers - Total","Niveau 1+2",8180,6500
"2008","Suisse du Nord-Ouest (BS, BL, AG)","Suisses/étrangers - Total","Niveau 3",6051,5452
"2008","Suisse du Nord-Ouest (BS, BL, AG)","Suisses/étrangers - Total","Niveau 4",4968,4281
"2008","Zurich (ZH)","Suisses/étrangers - Total","Niveau 1+2",9246,7113
"2008","Zurich (ZH)","Suisses/étrangers - Total","Niveau 3",6039,5136
"2008","Zurich (ZH)","Suisses/étrangers - Total","Niveau 4",4828,4232
"2008","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Suisses/étrangers - Total","Niveau 1+2",7069,5729
"2008","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Suisses/étrangers - Total","Niveau 3",5552,4675
"2008","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Suisses/étrangers - Total","Niveau 4",4784,3912
"2008","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Suisses/étrangers - Total","Niveau 1+2",7475,6157
"2008","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Suisses/étrangers - Total","Niveau 3",5631,4888
"2008","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Suisses/étrangers - Total","Niveau 4",4894,4066
"2008","Tessin (TI)","Suisses/étrangers - Total","Niveau 1+2",6655,5540
